Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-17 00:00:00-05:00,599.75,610.0,598.5,608.75,43431,0.0,0.0
2020-12-18 00:00:00-05:00,611.5,614.75,604.5,608.25,42169,0.0,0.0
2020-12-21 00:00:00-05:00,610.25,615.25,596.5,611.25,48422,0.0,0.0
2020-12-22 00:00:00-05:00,615.5,619.75,603.0,617.0,55034,0.0,0.0
2020-12-23 00:00:00-05:00,615.25,633.75,610.5,629.75,69513,0.0,0.0
2020-12-24 00:00:00-05:00,631.0,633.75,623.5,627.0,35656,0.0,0.0
2020-12-28 00:00:00-05:00,627.0,631.5,607.0,614.25,53532,0.0,0.0
2020-12-29 00:00:00-05:00,614.25,623.25,611.5,618.5,35420,0.0,0.0
2020-12-30 00:00:00-05:00,620.0,643.5,614.0,640.75,71654,0.0,0.0
2020-12-31 00:00:00-05:00,640.0,644.5,632.5,640.5,44927,0.0,0.0
2021-01-04 00:00:00-05:00,643.0,650.25,634.0,642.0,66782,0.0,0.0
2021-01-05 00:00:00-05:00,641.5,664.5,639.5,654.0,81173,0.0,0.0
2021-01-06 00:00:00-05:00,654.0,660.25,646.0,647.5,60850,0.0,0.0
2021-01-07 00:00:00-05:00,646.75,648.25,638.0,642.25,47486,0.0,0.0
2021-01-08 00:00:00-05:00,644.75,649.5,634.0,638.75,56138,0.0,0.0
2021-01-11 00:00:00-05:00,639.0,651.5,628.75,634.75,58069,0.0,0.0
2021-01-12 00:00:00-05:00,636.25,670.0,634.0,665.0,80416,0.0,0.0
2021-01-13 00:00:00-05:00,665.0,680.75,656.25,660.5,80724,0.0,0.0
2021-01-14 00:00:00-05:00,660.0,673.25,653.0,670.0,63304,0.0,0.0
2021-01-15 00:00:00-05:00,671.0,693.0,664.5,675.5,77447,0.0,0.0
2021-01-19 00:00:00-05:00,683.75,691.25,668.75,672.25,63501,0.0,0.0
2021-01-20 00:00:00-05:00,675.25,676.0,656.5,667.75,66033,0.0,0.0
2021-01-21 00:00:00-05:00,666.5,674.75,657.75,660.75,50212,0.0,0.0
2021-01-22 00:00:00-05:00,658.5,659.0,633.0,634.5,76808,0.0,0.0
2021-01-25 00:00:00-05:00,633.0,651.5,624.25,648.5,64721,0.0,0.0
2021-01-26 00:00:00-05:00,646.75,667.75,641.25,665.25,68363,0.0,0.0
2021-01-27 00:00:00-05:00,663.25,672.75,652.5,658.25,54190,0.0,0.0
2021-01-28 00:00:00-05:00,655.0,664.5,643.5,647.0,65434,0.0,0.0
2021-01-29 00:00:00-05:00,646.25,664.75,643.0,663.0,60153,0.0,0.0
2021-02-01 00:00:00-05:00,663.5,671.0,646.0,651.0,55799,0.0,0.0
2021-02-02 00:00:00-05:00,655.0,656.75,640.5,644.75,46873,0.0,0.0
2021-02-03 00:00:00-05:00,646.25,649.75,625.75,648.25,77131,0.0,0.0
2021-02-04 00:00:00-05:00,647.25,650.5,633.0,637.5,66019,0.0,0.0
2021-02-05 00:00:00-05:00,634.75,647.5,632.25,641.25,78451,0.0,0.0
2021-02-08 00:00:00-05:00,643.0,657.5,642.5,655.75,102705,0.0,0.0
2021-02-09 00:00:00-05:00,657.75,660.5,639.75,649.5,124145,0.0,0.0
2021-02-10 00:00:00-05:00,649.5,650.5,626.75,635.5,98577,0.0,0.0
2021-02-11 00:00:00-05:00,636.5,644.75,632.0,633.5,79697,0.0,0.0
2021-02-12 00:00:00-05:00,632.5,643.0,632.0,636.75,64747,0.0,0.0
2021-02-16 00:00:00-05:00,648.0,660.25,640.5,657.5,50195,0.0,0.0
2021-02-17 00:00:00-05:00,660.0,661.25,638.5,644.0,35182,0.0,0.0
2021-02-18 00:00:00-05:00,644.0,665.75,641.5,662.5,56681,0.0,0.0
2021-02-19 00:00:00-05:00,665.0,669.0,649.0,650.75,51919,0.0,0.0
2021-02-22 00:00:00-05:00,653.75,665.25,651.0,664.0,26456,0.0,0.0
2021-02-23 00:00:00-05:00,666.5,667.75,656.5,665.75,24552,0.0,0.0
2021-02-24 00:00:00-05:00,665.5,683.5,665.0,680.25,23402,0.0,0.0
